id,college,state,district
1,Aazad College of Education   ,Andhra Pradesh,Prakasam
2,Abhinav Institute of Management & Technology   ,Andhra Pradesh,Prakasam
3,Abhyudaya Mahila Degree College   ,Andhra Pradesh,Guntur
4,A.B.M. College   ,Andhra Pradesh,Prakasam
5,A.B.R College of Education   ,Andhra Pradesh,Prakasam
6,A.C.College  Day)   ,Andhra Pradesh,Guntur
7,A.C.College of Law   ,Andhra Pradesh,Guntur
8,A.C.Evening College   ,Andhra Pradesh,Guntur
9,Acharya N.G.Ranga College of Education   ,Andhra Pradesh,Guntur
10,Adarsa College of Education   ,Andhra Pradesh,Prakasam
11,Adarsa Degree College for Women   ,Andhra Pradesh,Guntur
12,A.G.K.M.College   ,Andhra Pradesh,Guntur
13,A.L.College of Education   ,Andhra Pradesh,Guntur
14,Ali College of Education   ,Andhra Pradesh,Guntur
15,AL Momin College of Education   ,Andhra Pradesh,Prakasam
16,Alpha College of Education   ,Andhra Pradesh,Prakasam
17,"Alpha College of Education, Kanigiri   ",Andhra Pradesh,Prakasam
18,Alpha Degree College   ,Andhra Pradesh,Prakasam
19,Aman Showkath B.Ed College   ,Andhra Pradesh,Guntur
20,A.M.G.College of Education   ,Andhra Pradesh,Guntur
21,A.M.G.Degree College for Women   ,Andhra Pradesh,Guntur
22,A.M Reddy College of Education   ,Andhra Pradesh,Guntur
23,A.M. Reddy Memorial College of Pharmacy   ,Andhra Pradesh,Guntur
24,Amrutha College of Education   ,Andhra Pradesh,Prakasam
25,Amrutha Degree College   ,Andhra Pradesh,Prakasam
26,Andhra Kesari College of Education   ,Andhra Pradesh,Prakasam
27,Andhra Kesari V ,Andhra Pradesh,Prakasam
28,Andhra Muslim College   ,Andhra Pradesh,Guntur
29,Andhra Muslim College of Education   ,Andhra Pradesh,Guntur
30,Anitha Venkateswara College of Eduation   ,Andhra Pradesh,Guntur
31,Annabattuni Satyanarayana Degree College   ,Andhra Pradesh,Guntur
32,Anniebesant College of Education   ,Andhra Pradesh,Prakasam
33,ANU PG Campus Ongole   ,Andhra Pradesh,Prakasam
34,A.P.Res ,Andhra Pradesh,Guntur
35,Asha College of Education   ,Andhra Pradesh,Prakasam
36,A.S.M & A.W. D Women's Degree College   ,Andhra Pradesh,Guntur
37,"A.S.N Pharmacy College, Tenali   ",Andhra Pradesh,Guntur
38,B.A & K.R College of Education   ,Andhra Pradesh,Prakasam
39,B.A & K.R Degree College   ,Andhra Pradesh,Prakasam
40,Balaji Degree College   ,Andhra Pradesh,Guntur
41,Bapatla College of Arts & Science   ,Andhra Pradesh,Guntur
42,Bapatla Engineering College   ,Andhra Pradesh,Guntur
43,Bapatla Womens Engineering College   ,Andhra Pradesh,Guntur
44,Bapuji College of Education   ,Andhra Pradesh,Guntur
45,B.B.H Degree College   ,Andhra Pradesh,Prakasam
46,"B.G Degree College, Sattenapalli   ",Andhra Pradesh,Guntur
47,Bharathi Degree College   ,Andhra Pradesh,Prakasam
48,Bhashyam College of Education   ,Andhra Pradesh,Guntur
49,B.H.H Degree College for Women   ,Andhra Pradesh,Guntur
50,"B.M.Degree College, P.Dornala   ",Andhra Pradesh,Prakasam
51,BMRM Jhansi B.Ed College   ,Andhra Pradesh,Prakasam
52,B.R College of Education   ,Andhra Pradesh,Guntur
53,B.S.S.B College   ,Andhra Pradesh,Guntur
54,B.V.S.P.M Degree College   ,Andhra Pradesh,Prakasam
55,Career Degree College   ,Andhra Pradesh,Guntur
56,"Chaitanya Bharathi Degree College, Chirala   ",Andhra Pradesh,Prakasam
57,Chaitanya College of Education   ,Andhra Pradesh,Prakasam
58,"Chakradhar Degree College, Macherla   ",Andhra Pradesh,Guntur
59,"Chalapathi Degree College, Lam   ",Andhra Pradesh,Guntur
60,"Chalapathi Institute of Engineering & Technology, Lam   ",Andhra Pradesh,Guntur
61,"Chalapathi Institute of Pharmaceutical Sciences, Lam   ",Andhra Pradesh,Guntur
62,Chebrolu Hanumaiah College of Pharmaceutical Sciences   ,Andhra Pradesh,Guntur
63,Chegireddy Linga Reddy Instt of Management   ,Andhra Pradesh,Prakasam
64,"Chirala College of PG Studies, Chirala   ",Andhra Pradesh,Guntur
65,Chiristian Women's College   ,Andhra Pradesh,Guntur
66,Christu Jayanthi Jubilee College  P.G.)   ,Andhra Pradesh,Guntur
67,C.I.L.For Rural Management   ,Andhra Pradesh,Guntur
68,C.R. College   ,Andhra Pradesh,Guntur
69,C.S.R. Sarma College   ,Andhra Pradesh,Prakasam
70,D.C.R.M Degree College   ,Andhra Pradesh,Prakasam
71,"D.C.R.M P.G College, MBA   ",Andhra Pradesh,Prakasam
72,Devathi Venkata Subbaiah Degree College   ,Andhra Pradesh,Prakasam
73,Devathi Venkata Subbiah College of Education   ,Andhra Pradesh,Prakasam
74,Don Bosco College  P.G.)   ,Andhra Pradesh,Guntur
75,Dr. B.R.Ambedkar Centenary Degree College   ,Andhra Pradesh,Guntur
76,Dr.Homi Jahangir Baba Degree College   ,Andhra Pradesh,Guntur
77,Dr. Jayapradamba Degree College   ,Andhra Pradesh,Guntur
78,Dr. K.R.R.M. Degree College   ,Andhra Pradesh,Guntur
79,Dr. K.S.P.R College of Education   ,Andhra Pradesh,Guntur
80,Dr.K.V.K. Sanskrit College   ,Andhra Pradesh,Guntur
81,D.R.N.S.C.V.S. College   ,Andhra Pradesh,Guntur
82,Dr. Samuel George College of Pharmaceutical Science   ,Andhra Pradesh,Prakasam
83,Dr. Zakir Hussain College of Education   ,Andhra Pradesh,Guntur
84,"D.S.Govt. Degree College for Women, Ongole   ",Andhra Pradesh,Prakasam
85,Erigineni Tirupati Na ,Andhra Pradesh,Prakasam
86,Fatima College of Education   ,Andhra Pradesh,Guntur
87,G.C.K.V.N. Degree College   ,Andhra Pradesh,Guntur
88,G.C & Y P N Degree College   ,Andhra Pradesh,Prakasam
89,Geetham Degree College   ,Andhra Pradesh,Prakasam
90,"Geethanjali Degree College, Darsi   ",Andhra Pradesh,Prakasam
91,Geethika B.Ed College   ,Andhra Pradesh,Guntur
92,Goutham College of Education   ,Andhra Pradesh,Prakasam
93,"Government Degree College, Cumbum   ",Andhra Pradesh,Prakasam
94,"Government Degree College, Yerragondapalem   ",Andhra Pradesh,Prakasam
95,"Govt. Degree College, Chebrolu   ",Andhra Pradesh,Guntur
96,"Govt. Degree College for Women, Guntur   ",Andhra Pradesh,Guntur
97,"Govt. Degree College, Kanigiri   ",Andhra Pradesh,Prakasam
98,"G.R.K Degree College, Maddipadu   ",Andhra Pradesh,Prakasam
99,G.R.R. & T.P.R. Degree College   ,Andhra Pradesh,Prakasam
100,G.S.R. Degree College   ,Andhra Pradesh,Guntur
101,G.V.& A.D.S.L. College of Education   ,Andhra Pradesh,Prakasam
102,G.V.R & S College of Education   ,Andhra Pradesh,Guntur
103,G V R & S Degree College for Women   ,Andhra Pradesh,Guntur
104,G.V.R.S Institute for Professional Studies   ,Andhra Pradesh,Guntur
105,G.V.S.M. GOVT. Degree College   ,Andhra Pradesh,Prakasam
106,Hazarath Ameeruddin College of Education   ,Andhra Pradesh,Prakasam
107,"Hindu College, Guntur   ",Andhra Pradesh,Guntur
108,Hindu College of Education   ,Andhra Pradesh,Guntur
109,"Hindu College of Management, Guntur   ",Andhra Pradesh,Guntur
110,Hindu College of Pharmacy   ,Andhra Pradesh,Guntur
111,H.M.K.S. & M.G.S. Memorial College of Education   ,Andhra Pradesh,Guntur
112, ,Andhra Pradesh,Prakasam
113,Indira Priyadarsni Law College   ,Andhra Pradesh,Prakasam
114,J.C. College of Law   ,Andhra Pradesh,Guntur
115,J.K.C. College   ,Andhra Pradesh,Guntur
116,J.M.J. College for Women   ,Andhra Pradesh,Guntur
117,J.R.R Navodaya Degree College   ,Andhra Pradesh,Guntur
118,Kalikamba College of Education   ,Andhra Pradesh,Prakasam
119,"Kalyani MCA College, Eethamukkala   ",Andhra Pradesh,Prakasam
120,Kamala College of Education   ,Andhra Pradesh,Prakasam
121,Kamala Institute of Management Studies   ,Andhra Pradesh,Prakasam
122,Kasturibai College of Education   ,Andhra Pradesh,Guntur
123,K Chandrakala College  P.G.)   ,Andhra Pradesh,Guntur
